CLAVE DE ESTADO,NOMBRE DE ESTADO,CLAVE DE MUNICIPIO,NOMBRE DE MUNICIPIO,CVE_MUN
14,JALISCO,93,TEPATITLÁN DE MORELOS,14093
24,SAN LUIS POTOSÍ,24,RIOVERDE,24024
10,DURANGO,11,INDÉ,10011
14,JALISCO,58,MASCOTA,14058
31,YUCATÁN,27,DZIDZANTÚN,31027
30,VERACRUZ DE IGNACIO DE LA LLAVE,175,TIHUATLÁN,30175
16,MICHOACÁN DE OCAMPO,2,AGUILILLA,16002
27,TABASCO,4,CENTRO,27004
4,CAMPECHE,5,HECELCHAKÁN,04005
21,PUEBLA,114,PUEBLA,21114
14,JALISCO,119,ZACOALCO DE TORRES,14119
16,MICHOACÁN DE OCAMPO,12,BUENAVISTA,16012
4,CAMPECHE,2,CAMPECHE,04002
4,CAMPECHE,9,ESCÁRCEGA,04009
32,ZACATECAS,26,MAZAPIL,32026
4,CAMPECHE,3,CARMEN,04003
21,PUEBLA,154,TECAMACHALCO,21154
31,YUCATÁN,6,BUCTZOTZ,31006
32,ZACATECAS,40,SAIN ALTO,32040
4,CAMPECHE,6,HOPELCHÉN,04006
32,ZACATECAS,49,VALPARAÍSO,32049
4,CAMPECHE,4,CHAMPOTÓN,04004
4,CAMPECHE,11,CANDELARIA,04011
1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,01006
30,VERACRUZ DE IGNACIO DE LA LLAVE,174,TIERRA BLANCA,30174
27,TABASCO,2,CÁRDENAS,27002
7,CHIAPAS,107,VILLA CORZO,07107
7,CHIAPAS,12,BERRIOZÁBAL,07012
20,OAXACA,2,ACATLÁN DE PÉREZ FIGUEROA,20002
30,VERACRUZ DE IGNACIO DE LA LLAVE,207,TRES VALLES,30207
19,NUEVO LEÓN,42,LOS RAMONES,19042
17,MORELOS,17,PUENTE DE IXTLA,17017
30,VERACRUZ DE IGNACIO DE LA LLAVE,182,TLALNELHUAYOCAN,30182
16,MICHOACÁN DE OCAMPO,103,VENUSTIANO CARRANZA,16103
32,ZACATECAS,28,MEZQUITAL DEL ORO,32028
17,MORELOS,10,JANTETELCO,17010
7,CHIAPAS,61,OCOZOCOAUTLA DE ESPINOSA,07061
7,CHIAPAS,108,VILLAFLORES,07108
14,JALISCO,33,DEGOLLADO,14033
25,SINALOA,10,EL FUERTE,25010
7,CHIAPAS,51,MAPASTEPEC,07051
26,SONORA,59,SANTA CRUZ,26059
7,CHIAPAS,41,LA INDEPENDENCIA,07041
22,QUERÉTARO,5,COLÓN,22005
22,QUERÉTARO,17,TEQUISQUIAPAN,22017
8,CHIHUAHUA,2,ALDAMA,08002
6,COLIMA,5,CUAUHTÉMOC,06005
32,ZACATECAS,50,VETAGRANDE,32050
11,GUANAJUATO,11,CORTAZAR,11011
8,CHIHUAHUA,18,CUSIHUIRIACHI,08018
8,CHIHUAHUA,19,CHIHUAHUA,08019
11,GUANAJUATO,9,COMONFORT,11009
11,GUANAJUATO,5,APASEO EL GRANDE,11005
8,CHIHUAHUA,31,GUERRERO,08031
11,GUANAJUATO,30,SAN FELIPE,11030
8,CHIHUAHUA,10,BUENAVENTURA,08010
21,PUEBLA,160,TEOTLALCO,21160
8,CHIHUAHUA,28,GUADALUPE,08028
28,TAMAULIPAS,41,VICTORIA,28041
28,TAMAULIPAS,13,GÜÉMEZ,28013
8,CHIHUAHUA,1,AHUMADA,08001
14,JALISCO,60,MEXTICACÁN,14060
8,CHIHUAHUA,17,CUAUHTÉMOC,08017
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,11003
14,JALISCO,26,CONCEPCIÓN DE BUENOS AIRES,14026
14,JALISCO,69,QUITUPAN,14069
19,NUEVO LEÓN,17,GALEANA,19017
25,SINALOA,17,SINALOA,25017
25,SINALOA,11,GUASAVE,25011
22,QUERÉTARO,14,QUERÉTARO,22014
32,ZACATECAS,52,VILLA GARCÍA,32052
16,MICHOACÁN DE OCAMPO,6,APATZINGÁN,16006
32,ZACATECAS,38,PINOS,32038
17,MORELOS,19,TEPALCINGO,17019
15,MÉXICO,14,ATLACOMULCO,15014
15,MÉXICO,11,ATENCO,15011
7,CHIAPAS,99,LA TRINITARIA,07099
6,COLIMA,7,MANZANILLO,06007
16,MICHOACÁN DE OCAMPO,83,TANCÍTARO,16083
6,COLIMA,4,COQUIMATLÁN,06004
8,CHIHUAHUA,5,ASCENSIÓN,08005
8,CHIHUAHUA,42,MANUEL BENAVIDES,08042
8,CHIHUAHUA,35,JANOS,08035
16,MICHOACÁN DE OCAMPO,17,CONTEPEC,16017
16,MICHOACÁN DE OCAMPO,102,URUAPAN,16102
11,GUANAJUATO,7,CELAYA,11007
8,CHIHUAHUA,54,RIVA PALACIO,08054
8,CHIHUAHUA,48,NAMIQUIPA,08048
8,CHIHUAHUA,11,CAMARGO,08011
18,NAYARIT,15,SANTIAGO IXCUINTLA,18015
14,JALISCO,108,TUXPAN,14108
32,ZACATECAS,55,VILLANUEVA,32055
15,MÉXICO,18,CALIMAYA,15018
5,COAHUILA DE ZARAGOZA,4,ARTEAGA,05004
19,NUEVO LEÓN,45,SALINAS VICTORIA,19045
7,CHIAPAS,89,TAPACHULA,07089
8,CHIHUAHUA,23,GALEANA,08023
19,NUEVO LEÓN,49,SANTIAGO,19049
14,JALISCO,123,ZAPOTLÁN DEL REY,14123
8,CHIHUAHUA,55,ROSALES,08055
2,BAJA CALIFORNIA,1,ENSENADA,02001
8,CHIHUAHUA,3,ALLENDE,08003
8,CHIHUAHUA,45,MEOQUI,08045
8,CHIHUAHUA,62,SAUCILLO,08062
32,ZACATECAS,47,TEÚL DE GONZÁLEZ ORTEGA,32047
8,CHIHUAHUA,50,NUEVO CASAS GRANDES,08050
6,COLIMA,3,COMALA,06003
16,MICHOACÁN DE OCAMPO,29,CHURUMUCO,16029
25,SINALOA,1,AHOME,25001
6,COLIMA,2,COLIMA,06002
32,ZACATECAS,10,FRESNILLO,32010
32,ZACATECAS,42,SOMBRERETE,32042
32,ZACATECAS,15,EL PLATEADO DE JOAQUÍN AMARO,32015
31,YUCATÁN,50,MÉRIDA,31050
31,YUCATÁN,52,MOTUL,31052
31,YUCATÁN,73,TAHDZIÚ,31073
15,MÉXICO,87,TEMOAYA,15087
14,JALISCO,53,LAGOS DE MORENO,14053
8,CHIHUAHUA,21,DELICIAS,08021
28,TAMAULIPAS,37,SOTO LA MARINA,28037
32,ZACATECAS,11,TRINIDAD GARCÍA DE LA CADENA,32011
32,ZACATECAS,54,VILLA HIDALGO,32054
8,CHIHUAHUA,36,JIMÉNEZ,08036
32,ZACATECAS,51,VILLA DE COS,32051
19,NUEVO LEÓN,34,MARÍN,19034
7,CHIAPAS,46,JIQUIPILAS,07046
21,PUEBLA,185,TLAPANALÁ,21185
14,JALISCO,120,ZAPOPAN,14120
11,GUANAJUATO,23,PÉNJAMO,11023
32,ZACATECAS,32,MORELOS,32032
32,ZACATECAS,27,MELCHOR OCAMPO,32027
16,MICHOACÁN DE OCAMPO,82,TACÁMBARO,16082
14,JALISCO,98,SAN PEDRO TLAQUEPAQUE,14098
14,JALISCO,97,TLAJOMULCO DE ZÚÑIGA,14097
32,ZACATECAS,24,LORETO,32024
30,VERACRUZ DE IGNACIO DE LA LLAVE,11,ALVARADO,30011
32,ZACATECAS,17,GUADALUPE,32017
11,GUANAJUATO,28,SALVATIERRA,11028
30,VERACRUZ DE IGNACIO DE LA LLAVE,193,VERACRUZ,30193
14,JALISCO,13,ATOTONILCO EL ALTO,14013
11,GUANAJUATO,1,ABASOLO,11001
11,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,11014
11,GUANAJUATO,27,SALAMANCA,11027
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,08067
1,AGUASCALIENTES,2,ASIENTOS,01002
11,GUANAJUATO,44,VILLAGRÁN,11044
11,GUANAJUATO,42,VALLE DE SANTIAGO,11042
30,VERACRUZ DE IGNACIO DE LA LLAVE,97,LERDO DE TEJADA,30097
30,VERACRUZ DE IGNACIO DE LA LLAVE,15,ANGEL R. CABADA,30015
32,ZACATECAS,29,MIGUEL AUZA,32029
30,VERACRUZ DE IGNACIO DE LA LLAVE,181,TLALIXCOYAN,30181
30,VERACRUZ DE IGNACIO DE LA LLAVE,49,COTAXTLA,30049
14,JALISCO,70,EL SALTO,14070
8,CHIHUAHUA,39,LÓPEZ,08039
8,CHIHUAHUA,6,BACHÍNIVA,08006
28,TAMAULIPAS,34,SAN CARLOS,28034
11,GUANAJUATO,17,IRAPUATO,11017
30,VERACRUZ DE IGNACIO DE LA LLAVE,58,CHICONTEPEC,30058
14,JALISCO,63,OCOTLÁN,14063
28,TAMAULIPAS,21,EL MANTE,28021
12,GUERRERO,68,LA UNIÓN DE ISIDORO MONTES DE OCA,12068
30,VERACRUZ DE IGNACIO DE LA LLAVE,148,SOLEDAD DE DOBLADO,30148
30,VERACRUZ DE IGNACIO DE LA LLAVE,28,BOCA DEL RÍO,30028
28,TAMAULIPAS,4,ANTIGUO MORELOS,28004
14,JALISCO,6,AMECA,14006
14,JALISCO,23,ZAPOTLÁN EL GRANDE,14023
11,GUANAJUATO,26,ROMITA,11026
5,COAHUILA DE ZARAGOZA,11,GENERAL CEPEDA,05011
16,MICHOACÁN DE OCAMPO,87,TARETAN,16087
16,MICHOACÁN DE OCAMPO,49,MADERO,16049
16,MICHOACÁN DE OCAMPO,79,SALVADOR ESCALANTE,16079
16,MICHOACÁN DE OCAMPO,35,LA HUACANA,16035
31,YUCATÁN,98,TZUCACAB,31098
16,MICHOACÁN DE OCAMPO,57,NOCUPÉTARO,16057
19,NUEVO LEÓN,25,GENERAL ZUAZUA,19025
30,VERACRUZ DE IGNACIO DE LA LLAVE,154,TANTIMA,30154
14,JALISCO,44,IXTLAHUACÁN DE LOS MEMBRILLOS,14044
16,MICHOACÁN DE OCAMPO,111,ZIRACUARETIRO,16111
13,HIDALGO,13,ATOTONILCO DE TULA,13013
11,GUANAJUATO,20,LEÓN,11020
16,MICHOACÁN DE OCAMPO,64,PARÁCUARO,16064
3,BAJA CALIFORNIA SUR,3,LA PAZ,03003
14,JALISCO,42,HUEJUQUILLA EL ALTO,14042
16,MICHOACÁN DE OCAMPO,9,ARIO,16009
16,MICHOACÁN DE OCAMPO,107,ZACAPU,16107
16,MICHOACÁN DE OCAMPO,55,MÚGICA,16055
16,MICHOACÁN DE OCAMPO,89,TEPALCATEPEC,16089
14,JALISCO,66,PONCITLÁN,14066
10,DURANGO,1,CANATLÁN,10001
3,BAJA CALIFORNIA SUR,1,COMONDÚ,03001
32,ZACATECAS,37,PÁNUCO,32037
